timestamp,id,type
2026-06-19-17:02:48,3,car
2026-06-19-17:02:50,8,car
2026-06-19-17:02:51,17,car
2026-06-19-17:02:51,13,car
2026-06-19-17:02:52,27,car
2026-06-19-17:02:53,43,car
2026-06-19-17:02:55,63,car
2026-06-19-17:02:58,76,car
2026-06-19-17:02:59,88,car
2026-06-19-17:03:00,110,car
2026-06-19-17:03:00,107,car
2026-06-19-17:03:05,165,car
2026-06-19-17:03:05,167,car
2026-06-19-17:03:05,176,car
2026-06-19-19:30:17,3,car
2026-06-19-19:30:19,8,car
2026-06-19-19:30:20,17,car
2026-06-19-19:30:20,13,car
2026-06-19-19:30:22,27,car
2026-06-19-19:30:22,43,car
2026-06-19-19:30:24,63,car
2026-06-19-19:30:27,76,car
2026-06-19-19:30:28,88,car
2026-06-19-19:30:29,110,car
2026-06-19-19:30:29,107,car
2026-06-19-19:30:34,165,car
2026-06-19-19:30:35,167,car
2026-06-19-19:30:35,176,car
2026-06-19-20:28:15,3,car
2026-06-19-20:28:16,8,car
2026-06-19-20:28:17,17,car
2026-06-19-20:28:18,13,car
2026-06-19-20:28:19,27,car
2026-06-19-20:28:20,43,car
2026-06-19-20:28:22,63,car
2026-06-19-20:28:25,76,car
2026-06-19-20:28:26,88,car
2026-06-19-20:28:27,110,car
2026-06-19-20:28:27,107,car
2026-06-19-20:28:32,165,car
2026-06-19-20:28:33,167,car
2026-06-19-20:28:33,176,car
2026-06-20-21:32:09,3,car
2026-06-20-21:32:11,8,car
2026-06-20-21:32:12,17,car
2026-06-20-21:32:12,13,car
2026-06-20-21:32:13,27,car
2026-06-20-21:32:14,43,car
2026-06-20-21:32:16,63,car
2026-06-20-21:32:19,76,car
2026-06-20-21:32:20,88,car
2026-06-20-21:32:21,110,car
2026-06-20-21:32:21,107,car
2026-06-20-21:32:26,165,car
2026-06-20-21:32:27,167,car
2026-06-20-21:32:27,176,car
